item_id,url,theme_hint,notes
veg_web_1,https://www.allrecipes.com/gallery/high-protein-vegetarian-dinners/,vegetarian recipes,Public high-protein vegetarian recipe roundup page.
veg_web_2,https://www.budgetbytes.com/category/recipes/vegetarian/,vegetarian recipes,Public vegetarian recipe index.
invest_web_1,https://www.bogleheads.org/wiki/Getting_started,investment education,Public investing education wiki page.
invest_web_2,https://www.bogleheads.org/wiki/Index_fund,investment education,Public index fund explainer.
gym_web_1,https://en.wikipedia.org/wiki/Bodyweight_exercise,gym exercise,Public bodyweight exercise reference page.
veg_yt_1,https://www.youtube.com/watch?v=Sf0miHIujeI,vegetarian recipes,Public YouTube high-protein vegetarian dinner result.
invest_yt_1,https://www.youtube.com/watch?v=fYYPRtRZ9Gg,investment education,Public YouTube index funds versus ETF education result.
gym_yt_1,https://www.youtube.com/watch?v=dcKwz_C8pkg,gym exercise,Public YouTube beginner bodyweight workout result.
invest_yt_2,https://www.youtube.com/watch?v=mrKKW3riVIA,investment education,Public YouTube passive index investing result.
veg_yt_2,https://www.youtube.com/watch?v=dfI7nJFXaFA,vegetarian recipes,Public YouTube high-protein vegan meals result.
social_x_1,https://x.com/SEC_Investor_Ed,investment education,Expected metadata-only or blocked fallback; no login or cookies used.
